Descriptor name,Chosen descriptor,Mode,Type,Complexity,Related descriptors,Comment,Range,Description,Links
amplitude_peak_ratio,sfx.max_to_total,-,numeric,advanced,,,0-1,"Ratio between the position of the peak in the amplitude envelope and the total envelope duration, indicating whether the maximum magnitude of the audio signal occurs early (impulsive or decrescendo) or late (crescendo).",http://essentia.upf.edu/documentation/reference/streaming_MaxToTotal.html
beat_count,rhythm.beats_count,-,integer,,,,,"Number of beats in the audio signal, derived from the total detected beat positions and expresses a measure of rhythmic density or tempo-related activity.",http://essentia.upf.edu/documentation/reference/streaming_RhythmExtractor2013.html
beat_loudness,rhythm.beats_loudness,mean,numeric,advanced,,recheck terminology,,Spectral energy measured at the beat positions of the audio signal.,https://essentia.upf.edu/reference/streaming_BeatsLoudness.html
beat_times,rhythm.beats_position,VL,array[numeric],,,recheck it is sec,,"Beat timestamps (in seconds) for the audio signal, which can vary according to the amount (count) of beats identified in the audio.",http://essentia.upf.edu/documentation/reference/streaming_RhythmExtractor2013.html
boominess,ac_boominess,-,numeric,,,,0-100,"Boominess of the audio signal. A boomy sound is one that conveys a sense of loudness, depth and resonance.",
bpm,ac_tempo,-,integer,,rhythm.bpm,,,BPM value estimated by beat tracking algorithm.,https://en.wikipedia.org/wiki/Tempo
bpm_confidence,ac_tempo_confidence,-,numeric,,,,0-1,Confidence score on how reliable the tempo (BPM) estimation is.,
brightness,ac_brightness,-,numeric,,,,0-100,Brightness of the audio signal. A bright sound is one that is clear/vibrant and/or contains significant high-pitched elements.,
chord_count,tonal.chords_count,-,integer,advanced,,set to 0 if not meaningful,,Number of chords in the audio signal based on the number of detected chords by the chord_progression descriptor.,http://essentia.upf.edu/documentation/reference/streaming_ChordsDescriptors.html
chord_progression,tonal.chords_progression,VL,array[string],advanced,tonal.chords_strength,set to 0 if not meaningful,,"Chords estimated from the harmonic pitch class profiles (HPCPs) across the audio signal. Using the pitch classes [""A"", ""A#"", ""B"", ""C"", ""C#"", ""D"", ""D#"", ""E"", ""F"", ""F#"", ""G"", ""G#""], it finds the best-matching major or minor triad and outputs a time-varying chord sequence as a sequence of labels (e.g. A#, Bm). Note, chords are major if no minor symbol.",http://essentia.upf.edu/documentation/reference/streaming_ChordsDetection.html
decay_strength,sfx.strongdecay,-,numeric,advanced,,,,Rate at which the audio signal's energy decays (i.e. how quickly it decreases) after the initial attack. It is computed from a non-linear combination of the signal's energy and its temporal centroid (the balance point of the signal's absolute amplitude).,https://essentia.upf.edu/reference/streaming_StrongDecay.html
depth,ac_depth,-,numeric,,,,0-100,Depth of the audio signal. A deep sound is one that conveys the sense of having been made far down below the surface of its source.,
dissonance,lowlevel.dissonance,mean,numeric,,,,,Sensory dissonance of the audio signal given its spectral peaks.,http://essentia.upf.edu/documentation/reference/streaming_Dissonance.html
duration_effective,sfx.effective_duration,-,numeric,advanced,,,,"Duration of the audio signal (in seconds) during which the envelope amplitude is perceptually significant (above 40% of peak and 90dB), e.g. for distinguishing short/percussive from sustained sounds.",https://essentia.upf.edu/reference/streaming_EffectiveDuration.html
dynamic_range,ac_dynamic_range,-,numeric,,,,,"Loudness range (dB, LU) of the audio signal measured using the EBU R128 standard.",
hardness,ac_hardness,mean,numeric,,,,0-100,"Hardness of the audio signal. A hard sound is one that conveys the sense of having been made (i) by something solid, firm or rigid; or (ii) with a great deal of force.",
hpcp,tonal.hpcp,mean (36),array[numeric],advanced,,,0-36,"Harmonic Pitch Class Profile (HPCP) computed from the spectral peaks of the audio signal, representing the energy distribution across 36 pitch classes (3 subdivisions per semitone).","http://essentia.upf.edu/documentation/reference/streaming_HPCP.html, https://en.wikipedia.org/wiki/Harmonic_pitch_class_profiles"
hpcp_crest,tonal.hpcp_crest,mean,numeric,advanced,,,,"Dominance of the strongest pitch class (crest) compared to the rest, computed as the ratio between the maximum HPCP value and the mean HPCP value (computed by the hpcp descriptor).",https://essentia.upf.edu/reference/streaming_Crest.html
hpcp_entropy,tonal.hpcp_entropy,mean,numeric,advanced,,,,"Uniformity of the pitch-class distribution, computed as the Shannon entropy of the HPCP (computed by the hpcp descriptor).","http://essentia.upf.edu/documentation/reference/streaming_Entropy.html, http://essentia.upf.edu/documentation/reference/streaming_HPCP.html"
inharmonicity,sfx.inharmonicity,mean,numeric,,,,0-1,"Deviation of spectral components from perfect harmonicity, computed as the energy-weighted divergence from their closest multiples of the fundamental frequency.",https://essentia.upf.edu/reference/streaming_Inharmonicity.html
log_attack_time,ac_log_attack_time,-,numeric,advanced,"sfx.logattacktime, sfx.max_der_before_max",,,"Log (base 10) of the attack time of the audio signal's envelope, where the attack time is defined as the time duration from when the sound becomes perceptually audible to when it reaches its maximum intensity.",https://essentia.upf.edu/reference/streaming_LogAttackTime.html
loopable,ac_loop,-,boolean,,,,,"Whether the audio signal is loopable, i.e. it begins and ends in a way that sounds smooth when repeated.",https://en.wikipedia.org/wiki/Loop_(music)
loudness,ac_loudness,-,numeric,,lowlevel.average_loudness,,,Overall loudness (LUFS) of the audio signal measured using the EBU R128 standard.,https://en.wikipedia.org/wiki/LUFS
mfcc,lowlevel.mfcc,mean (13),array[numeric],advanced,,set to 0 if not note,,13 mel-frequency cepstrum coefficients of a spectrum (MFCC-FB40).,https://essentia.upf.edu/reference/streaming_MFCC.html
note_confidence,ac_note_confidence,-,numeric,,,set to 0 if not note,0-1,Confidence score on how reliable the note name/MIDI estimation is.,
note_midi,ac_note_midi,-,integer,,,set to 0 if not note,,MIDI value corresponding to the estimated note (computed by the note_name descriptor).,
note_name,ac_note_name,-,string,,,,,"Pitch note name that includes one of the 12 western notes [""A"", ""A#"", ""B"", ""C"", ""C#"", ""D"", ""D#"", ""E"", ""F"", ""F#"", ""G"", ""G#""] and the octave number, e.g. ""A4"", ""E#7"". It is computed by the median of the estimated fundamental frequency.",
onset_count,rhythm.onset_count,-,integer,,,,,Number of detected onsets in the audio signal.,http://essentia.upf.edu/documentation/reference/streaming_OnsetRate.html
onset_times,rhythm.onset_times,VL,array[numeric],,,recheck it is sec,,"Timestamps for the detected onsets in the audio signal in seconds, which can vary according to the amount of onsets (computed by the onset_count descriptor).",http://essentia.upf.edu/documentation/reference/streaming_OnsetRate.html
pitch,lowlevel.pitch,mean,numeric,,"ac_note_frequency, sfx.pitch_max_to_total, sfx.pitch_min_to_total",,0-25000,"Mean (average) fundamental frequency derived from the audio signal, computed with the YinFFT algorithm.",http://essentia.upf.edu/documentation/reference/streaming_PitchYinFFT.html
pitch_max,lowlevel.pitch,max,numeric,advanced,,,,Maximum fundamental frequency observed throughout the audio signal.,http://essentia.upf.edu/documentation/reference/streaming_PitchYinFFT.html
pitch_min,lowlevel.pitch,min,numeric,advanced,,,,Minimum fundamental frequency observed throughout the audio signal.,http://essentia.upf.edu/documentation/reference/streaming_PitchYinFFT.html
pitch_salience,lowlevel.pitch_salience,mean,numeric,,lowlevel.pitch_instantaneous_confidence,,0-1,Pitch salience (i.e. tone sensation) given by the ratio of the highest auto correlation value of the spectrum to the non-shifted auto correlation value. Unpitched sounds and pure tones have value close to 0.,http://essentia.upf.edu/documentation/reference/streaming_PitchYinFFT.html
pitch_var,lowlevel.pitch,var,numeric,advanced,,,,Variance of the fundamental frequency of the audio signal.,http://essentia.upf.edu/documentation/reference/streaming_PitchYinFFT.html
reverbness,ac_reverb,-,boolean,,,,,Whether the signal is reverberated or not.,https://en.wikipedia.org/wiki/Reverberation
roughness,ac_roughness,-,numeric,,,,0-100,Roughness of the audio signal. A rough sound is one that has an uneven or irregular sonic texture.,
sharpness,ac_sharpness,-,numeric,,,,0-100,Sharpness of the audio signal. A sharp sound is one that suggests it might cut if it were to take on physical form.,
silence_rate,lowlevel.silence_rate_30dB,mean,numeric,,lowlevel.silence_rate_60dB,,0-1,"Amount of silence in the audio signal, computed by the fraction of frames with instant power below 30dB.",http://essentia.upf.edu/documentation/reference/streaming_SilenceRate.html
single_event,ac_single_event,-,boolean,,,,,Whether the audio signal contains one single audio event or more than one. This computation is based on the loudness of the signal and does not do any frequency analysis.,
spectral_centroid,lowlevel.spectral_centroid,mean,numeric,advanced,,,,"Spectral centroid of the audio signal, indicating where the ""center of mass"" of the spectrum is. It correlates with the perception of ""brightness"" of a sound, making it useful for characterizing musical timbre. It is computed as the weighted mean of the signal's frequencies, weighted by their magnitudes.","http://essentia.upf.edu/documentation/reference/streaming_Centroid.html, https://en.wikipedia.org/wiki/Spectral_centroid"
spectral_complexity,lowlevel.spectral_complexity,mean,numeric,advanced,,,,"Spectral complexity of the audio signal's spectrum, based on the number of peaks in the spectrum.",http://essentia.upf.edu/documentation/reference/streaming_SpectralComplexity.html
spectral_crest,lowlevel.spectral_crest,mean,numeric,advanced,,,,"Dominance of the strongest spectral peak (crest) compared to the rest, computed as the ratio between the maximum and mean spectral magnitudes.",http://essentia.upf.edu/documentation/reference/streaming_Crest.html
spectral_energy,lowlevel.spectral_energy,mean,numeric,advanced,,,,Energy in the spectrum of the audio signal. It represents the total magnitude of all frequency components and indicates how much power is present across the spectrum.,http://essentia.upf.edu/documentation/reference/streaming_Energy.html
spectral_entropy,lowlevel.spectral_entropy,mean,numeric,advanced,,,,"Shannon entropy in the frequency domain of the audio signal, measuring the unpredictability in the spectrum.",http://essentia.upf.edu/documentation/reference/streaming_Entropy.html
spectral_flatness,lowlevel.spectral_flatness_db,mean,numeric,advanced,,,0-1,"Flatness of the spectrum measured as the ratio of its geometric mean to its arithmetic mean (in dB). High values indicate a noise-like, flat spectrum with evenly distributed power, while low values indicate a tone-like, spiky spectrum with power concentrated in a few frequency bands.",http://essentia.upf.edu/documentation/reference/streaming_FlatnessDB.html
spectral_rolloff,lowlevel.spectral_rolloff,mean,numeric,advanced,,,0-25000,"Roll-off frequency of the spectrum, defined as the frequency under which some percentage (cutoff) of the total energy of the spectrum is contained. It can be used to distinguish between harmonic (below roll-off) and noisy sounds (above roll-off).",http://essentia.upf.edu/documentation/reference/streaming_RollOff.html
spectral_skewness,lowlevel.spectral_skewness,mean,numeric,advanced,lowlevel.barkbands_skewness,,,Skewness of the spectrum given its central moments. It measures how the values of the spectrum are dispersed around the mean and is a key indicator of the distribution's shape.,https://essentia.upf.edu/reference/streaming_CentralMoments.html
spectral_spread,lowlevel.spectral_spread,mean,numeric,advanced,lowlevel.barkbands_spread,,,Spread (variance) of the spectrum given its central moments. It measures how the values of the spectrum are dispersed around the mean and is a key indicator of the distribution's shape.,https://essentia.upf.edu/reference/streaming_CentralMoments.html
start_time,lowlevel.startFrame,-,numeric,,,convert to sec,,"The moment at which sound begins in seconds, i.e. when the audio signal first rises above silence.",https://essentia.upf.edu/reference/streaming_StartStopSilence.html
temporal_centroid,ac_temporal_centroid,-,numeric,advanced,sfx.temporal_centroid,,0-1,"Temporal centroid of the audio signal, defined as the time point at which the temporal balancing position of the sound event energy.",http://essentia.upf.edu/documentation/reference/streaming_Centroid.html
temporal_centroid_ratio,sfx.tc_to_total,-,numeric,advanced,,,,"Ratio of the temporal centroid to the total length of the audio signal's envelope, which shows how the sound is â€˜balanced'. Values close to 0 indicate most of the energy is concentrated early (decrescendo or impulsive), while values close to 1 indicate energy concentrated late (crescendo).",http://essentia.upf.edu/documentation/reference/streaming_TCToTotal.html
temporal_decrease,sfx.temporal_decrease,mean,numeric,advanced,,,,"Overall decrease of the audio signal's amplitude over time, computed as the linear regression coefficient.",http://essentia.upf.edu/documentation/reference/streaming_Decrease.html
temporal_skewness,sfx.temporal_skewness,mean,numeric,advanced,,,,Skewness of the audio signal in the time domain given its central moments. It measures how the amplitude values of the signal are dispersed around the mean and is a key indicator of the distribution's shape.,https://essentia.upf.edu/reference/streaming_CentralMoments.html
temporal_spread,sfx.temporal_spread,mean,numeric,advanced,,,,Spread (variance) of the audio signal in the time domain given its central moments. It measures how the amplitude values of the signal are dispersed around the mean and is a key indicator of the distribution's shape.,https://essentia.upf.edu/reference/streaming_CentralMoments.html
tonality,ac_tonality,-,string,,"tonal.key_key, tonal.key_scale, tonal.chords_key, tonal.chords_scale",,,"Key (tonality) estimated by a key detection algorithm. The key name includes the root note of the scale, which is one of [""A"", ""A#"", ""B"", ""C"", ""C#"", ""D"", ""D#"", ""E"", ""F"", ""F#"", ""G"", ""G#""], and the scale mode, which is one of [""major"", ""minor""], e.g. ""C minor"", ""F# major"".",https://en.wikipedia.org/wiki/Key_(music)
tonality_confidence,ac_tonality_confidence,-,numeric,,tonal.key_strength,,0-1,Confidence score on how reliable the key estimation is (computed by the tonality descriptor).,
tristimulus,sfx.tristimulus,mean (3),array[numeric],advanced,,,,"Tristimulus of the audio signal given its harmonic peaks. It measures the relative contribution of harmonic groups in a signal's spectrum, where the first value captures the first harmonic, the second captures harmonics 2-4, and the third captures all remaining harmonics. It is a timbre equivalent to the color attributes in the vision.",https://essentia.upf.edu/reference/streaming_Tristimulus.html
warmth,ac_warmth,-,numeric,,,,0-100,Warmth of the audio signal. A warm sound is one that promotes a sensation analogous to that caused by a physical increase in temperature.,
zero_crossing_rate,lowlevel.zerocrossingrate,mean,numeric,advanced,,,0-1,"Zero-crossing rate of the audio signal. It is the number of sign changes between consecutive samples divided by the total number of samples. Noisy signals tend to have a higher value. For monophonic tonal signals, it can be used as a primitive pitch detection algorithm.",http://essentia.upf.edu/documentation/reference/streaming_ZeroCrossingRate.html
